id,titre,categorie,effort,saison,tags
1,Randonnée au Mont Boukornine,Nature & Aventure,Moyen,Printemps/Automne,"montagne, randonnée, nature, Tunis, vue"
2,Trekking dans les montagnes de Kasserine,Aventure & Sport,Intense,Printemps,"montagne, marche, nature, exploration, groupe"
3,Excursion au Djebel Zaghouan,Nature & Découverte,Moyen,Printemps/Automne,"montagne, eau, randonnée, histoire, nature"
4,Camping à Aïn Draham,Nature & Détente,Moyen,Été/Automne,"forêt, froid, camping, nature, détente"
5,Balade dans les forêts de Béja,Nature & Relaxation,Faible,Printemps,"forêt, marche, calme, nature, famille"
6,Kayak à Sidi Bou Saïd,Aventure & Mer,Moyen,Été,"mer, sport, paysage, Tunis, coucher soleil"
7,Plongée à Tabarka,Aventure & Sport,Intense,Été,"mer, poissons, exploration, profondeur, sport"
8,Excursion en bateau à Sousse,Mer & Détente,Faible,Été,"bateau, mer, soleil, tourisme, groupe"
9,Snorkeling à Djerba,Mer & Aventure,Moyen,Été,"mer, poissons, masque, île, exploration"
10,Journée plage à Hammamet,Détente & Mer,Faible,Été,"plage, sable, soleil, famille, repos"
11,Safari dans le désert de Douz,Aventure & Désert,Intense,Hiver,"désert, dunes, 4x4, aventure, Sud"
12,Nuit sous les étoiles à Ksar Ghilane,Aventure & Insolite,Moyen,Automne/Hiver,"désert, étoiles, camping, silence, nature"
13,Visite des oasis de Tozeur,Culture & Nature,Faible,Automne/Hiver,"oasis, palmiers, eau, Sud, découverte"
14,Balade en quad dans le désert de Douz,Aventure & Sport,Intense,Hiver,"quad, dunes, vitesse, désert, adrénaline"
15,Atelier de poterie à Nabeul,Créatif & Culture,Faible,Toutes,"argile, artisanat, manuel, tradition, création"
16,Visite de la médina de Tunis,Culture & Histoire,Faible,Printemps/Automne,"histoire, ruelles, marché, patrimoine, ville"
17,Exploration des ruines de Carthage,Culture & Histoire,Faible,Printemps,"ruines, antique, histoire, mer, tourisme"
18,Cours de cuisine tunisienne à Sousse,Gastronomie & Culture,Faible,Toutes,"cuisine, couscous, traditionnel, groupe, apprentissage"
19,Visite des villages berbères de Matmata,Culture & Insolite,Faible,Automne/Hiver,"troglodyte, désert, tradition, Sud, culture"
20,Escalade légère au Djebel Ressas,Aventure & Sport,Intense,Printemps/Automne,"montagne, escalade, effort, vue, sport"